price,area,bedrooms,bathrooms,hotwaterheating,parking,furnishingstatus
131904400,3320,4,5,yes,2,Unfurnished
64562420,1738,3,4,yes,1,Semi-furnished
404259100,5860,5,5,yes,3,Furnished
147792000,3400,4,4,yes,3,Unfurnished
143790000,3320,4,4,yes,2,Semi-furnished
130420000,3400,4,5,yes,2,Semi-furnished
283310560,4480,4,4,yes,3,Furnished
64188810,851,2,2,no,1,Furnished
278896000,4000,4,4,yes,3,Furnished
108404144,1744,3,4,yes,1,Furnished
80349265,1095,3,4,yes,1,Furnished
43700036,647,2,2,no,1,Furnished
105597000,2450,3,3,yes,1,Unfurnished
99391000,2300,3,3,yes,1,Unfurnished
145425000,3700,4,4,yes,2,Semi-furnished
59897920,1443,3,3,yes,1,Semi-furnished
89700000,2500,3,4,yes,1,Semi-furnished
332636400,4400,4,5,yes,3,Furnished
126950000,3400,4,4,yes,3,Unfurnished
82599200,2320,3,3,yes,1,Unfurnished
115296800,3120,4,5,yes,2,Semi-furnished
110332750,3055,4,5,yes,2,Unfurnished
152314500,3950,4,5,yes,2,Semi-furnished
127644800,3360,4,5,yes,2,Semi-furnished
33990500,805,2,2,no,1,Unfurnished
175187080,2440,3,3,yes,1,Furnished
69729280,966,2,2,no,1,Furnished
70613380,1758,3,4,yes,1,Unfurnished
258073000,3850,4,5,yes,2,Furnished
181531000,4300,4,4,yes,2,Semi-furnished
253281125,3375,4,4,yes,2,Furnished
116042000,2900,3,4,yes,1,Semi-furnished
244997280,3680,4,5,yes,2,Furnished
115164415,1629,3,3,yes,1,Furnished
117700800,2740,3,3,yes,1,Semi-furnished
114679000,2900,3,3,yes,1,Unfurnished
211302980,3382,4,5,yes,3,Furnished
31186640,842,2,2,no,1,Unfurnished
79500115,1193,3,4,yes,1,Furnished
51475870,861,2,2,no,1,Furnished
154996350,2450,3,3,yes,1,Furnished
93302400,2260,3,3,yes,1,Unfurnished
157853540,2380,3,4,yes,1,Furnished
63197890,1523,3,3,yes,1,Unfurnished
61220200,1545,3,4,yes,1,Unfurnished
45862280,1076,3,3,yes,1,Unfurnished
85035320,1978,3,4,yes,1,Semi-furnished
112075000,2500,3,3,yes,1,Semi-furnished
121224000,3100,4,5,yes,2,Unfurnished
149631600,3340,4,5,yes,2,Unfurnished
254163380,3340,4,4,yes,3,Furnished
84561000,2225,3,3,yes,1,Unfurnished
63901000,1530,3,4,yes,1,Unfurnished
264972450,3950,4,4,yes,2,Furnished
29127500,683,2,2,no,1,Unfurnished
124182864,1648,3,4,yes,1,Furnished
270919400,7340,1,1,no,0,Semi-furnished
56544850,1267,3,4,yes,1,Semi-furnished
126932000,3580,4,5,yes,2,Semi-furnished
29668420,757,2,2,no,1,Semi-furnished
68050520,1556,3,3,yes,1,Unfurnished
47274120,1324,3,4,yes,1,Semi-furnished
139653680,2140,3,4,yes,1,Furnished
135184720,2260,3,4,yes,1,Furnished
520189375,7075,1,1,no,0,Furnished
87552760,1304,3,3,yes,1,Furnished
113725909,1539,3,4,yes,1,Furnished
159384000,3600,4,4,yes,3,Unfurnished
65568900,1519,3,3,yes,1,Unfurnished
283085700,7990,1,1,no,0,Semi-furnished
172554800,2800,3,3,yes,1,Furnished
58908355,851,2,2,no,1,Furnished
252721780,3820,4,4,yes,3,Furnished
88475000,2500,3,3,yes,1,Unfurnished
189019640,2840,3,3,yes,1,Furnished
111614600,3060,4,5,yes,2,Unfurnished
95312800,2320,3,4,yes,1,Unfurnished
91900000,2400,3,4,yes,1,Unfurnished
50000032,784,2,2,no,1,Furnished
41087170,630,2,2,no,1,Furnished
68790700,1854,3,3,yes,1,Semi-furnished
99388000,2800,3,4,yes,1,Semi-furnished
254728000,6400,5,5,yes,2,Unfurnished
76672573,1221,3,4,yes,1,Furnished
163909280,2560,3,3,yes,1,Furnished
156281500,4150,4,4,yes,2,Semi-furnished
95909600,2570,3,3,yes,1,Semi-furnished
108236800,2760,3,4,yes,1,Semi-furnished
135645200,3310,4,5,yes,2,Unfurnished
332029120,4480,4,4,yes,2,Furnished
162574000,3800,4,5,yes,2,Unfurnished
115295500,2650,3,3,yes,1,Unfurnished
147072000,3600,4,5,yes,3,Unfurnished
136576000,3100,4,5,yes,3,Semi-furnished
51700120,1209,3,3,yes,1,Unfurnished
109343000,2900,3,4,yes,1,Semi-furnished
27974550,649,2,2,no,1,Unfurnished
155483400,2300,3,3,yes,1,Furnished
153227500,2500,3,4,yes,1,Furnished
132769394,1859,3,3,yes,1,Furnished
111700000,2500,3,3,yes,1,Unfurnished
174708000,4300,4,5,yes,3,Semi-furnished
273694000,4300,4,4,yes,3,Furnished
79907500,2250,3,4,yes,1,Unfurnished
164345000,4300,4,5,yes,3,Unfurnished
214894700,3300,4,5,yes,2,Furnished
323880000,4250,4,4,yes,2,Furnished
94222400,2320,3,3,yes,1,Semi-furnished
76436800,2040,3,3,yes,1,Unfurnished
158678295,2515,3,3,yes,1,Furnished
107500000,2500,3,4,yes,1,Unfurnished
170667360,4272,4,5,yes,3,Semi-furnished
131213000,3100,4,5,yes,3,Semi-furnished
329303040,5520,5,6,yes,3,Furnished
185903200,2700,3,3,yes,1,Furnished
166245000,3900,4,5,yes,3,Unfurnished
101880000,2800,3,4,yes,1,Unfurnished
190925000,2500,3,4,yes,1,Furnished
155335840,2320,3,3,yes,1,Furnished
112636800,2920,3,4,yes,1,Semi-furnished
94747600,2440,3,4,yes,1,Unfurnished
134519900,3131,4,4,yes,2,Semi-furnished
87423160,2154,3,4,yes,1,Semi-furnished
192054220,3220,4,4,yes,3,Furnished
90455500,2425,3,3,yes,1,Unfurnished
141117142,1878,3,3,yes,1,Furnished
191629560,3060,4,5,yes,3,Furnished
107476000,2400,3,4,yes,1,Unfurnished
172601000,4300,4,4,yes,3,Unfurnished
557284480,7360,1,1,no,0,Furnished
237533600,3600,4,5,yes,2,Furnished
45272330,1043,3,3,yes,1,Unfurnished
162900000,4000,4,5,yes,3,Unfurnished
130512000,3600,4,5,yes,3,Semi-furnished
108038000,2900,3,3,yes,1,Semi-furnished
79830000,1876,3,4,yes,1,Unfurnished
284586200,4200,4,5,yes,2,Furnished
153208000,3440,4,5,yes,3,Unfurnished
150072000,3800,4,4,yes,2,Unfurnished
88624200,2260,3,3,yes,1,Unfurnished
104517145,1395,3,4,yes,1,Furnished
91952800,2560,3,4,yes,1,Unfurnished
411464000,6400,5,5,yes,2,Furnished
157232000,3600,4,5,yes,2,Unfurnished
266879000,3500,4,4,yes,2,Furnished
247101200,3800,4,5,yes,2,Furnished
231816000,6400,5,5,yes,2,Semi-furnished
188769000,4300,4,4,yes,3,Semi-furnished
94048200,2260,3,4,yes,1,Semi-furnished
95800000,2500,3,3,yes,1,Unfurnished
142132160,3936,4,4,yes,2,Unfurnished
208053600,3200,4,4,yes,3,Furnished
152324000,4200,4,5,yes,2,Unfurnished
149932900,2100,3,4,yes,1,Furnished
98051000,2450,3,3,yes,1,Semi-furnished
140758765,1963,3,3,yes,1,Furnished
99864000,2800,3,3,yes,1,Unfurnished
61400470,1617,3,3,yes,1,Unfurnished
168730800,3880,4,4,yes,3,Unfurnished
82312000,1950,3,4,yes,1,Semi-furnished
77937900,2110,3,4,yes,1,Semi-furnished
27509970,703,2,2,no,1,Unfurnished
160070000,2500,3,3,yes,1,Furnished
173494475,2725,3,4,yes,1,Furnished
106092100,2610,3,4,yes,1,Semi-furnished
92925000,2350,3,3,yes,1,Unfurnished
259851200,3700,4,5,yes,2,Furnished
127698000,3400,4,5,yes,3,Semi-furnished
217171380,3060,4,5,yes,3,Furnished
101921200,2440,3,3,yes,1,Unfurnished
184512000,4300,4,5,yes,3,Semi-furnished
221852170,6169,5,6,yes,2,Unfurnished
301691300,4300,4,5,yes,3,Furnished
167826000,4100,4,5,yes,3,Semi-furnished
100512000,2600,3,3,yes,1,Semi-furnished
419877000,5700,5,6,yes,3,Furnished
335950380,4420,4,5,yes,3,Furnished
60802070,1573,3,3,yes,1,Semi-furnished
215614015,2985,3,4,yes,1,Furnished
76369600,1980,3,4,yes,1,Unfurnished
219887600,3300,4,4,yes,2,Furnished
136235000,3100,4,4,yes,3,Semi-furnished
87682300,2210,3,4,yes,1,Unfurnished
169080000,3880,4,5,yes,3,Unfurnished
71470000,1800,3,3,yes,1,Semi-furnished
131710600,1800,3,4,yes,1,Furnished
321493800,7310,1,1,no,0,Semi-furnished
55234808,722,2,2,no,1,Furnished
28719360,808,2,2,no,1,Unfurnished
89043400,2340,3,3,yes,1,Semi-furnished
221718500,3500,4,5,yes,2,Furnished
289808000,6600,5,5,yes,2,Unfurnished
176857500,2500,3,3,yes,1,Furnished
236226000,3600,4,5,yes,3,Furnished
181132500,4050,4,5,yes,3,Unfurnished
121317000,3210,4,5,yes,3,Semi-furnished
130615240,3586,4,5,yes,3,Unfurnished
60292000,1600,3,4,yes,1,Unfurnished
54905450,755,2,2,no,1,Furnished
131680000,3000,3,3,yes,1,Semi-furnished
132535600,3320,4,4,yes,3,Unfurnished
117984400,2895,3,4,yes,1,Unfurnished
203127600,2920,3,3,yes,1,Furnished
172626000,4200,4,5,yes,3,Semi-furnished
243870350,3570,4,4,yes,2,Furnished
94216000,2200,3,3,yes,1,Semi-furnished
125055780,1682,3,4,yes,1,Furnished
107659000,1800,3,3,yes,1,Furnished
76156900,1770,3,4,yes,1,Unfurnished
169352000,2620,3,3,yes,1,Furnished
236695534,3446,4,5,yes,2,Furnished
63205020,1598,3,3,yes,1,Semi-furnished
97003000,2220,3,4,yes,1,Semi-furnished
135022500,3795,4,5,yes,3,Semi-furnished
233670900,3150,4,4,yes,3,Furnished
118559200,2960,3,3,yes,1,Semi-furnished
64555100,1531,3,4,yes,1,Unfurnished
115247780,2762,3,3,yes,1,Unfurnished
241572330,3615,4,4,yes,3,Furnished
108212000,2900,3,3,yes,1,Semi-furnished
152100000,4000,4,5,yes,3,Semi-furnished
81973600,2220,3,3,yes,1,Semi-furnished
380614752,5066,5,5,yes,3,Furnished
165098090,2221,3,3,yes,1,Furnished
233742800,6140,5,6,yes,3,Semi-furnished
92810800,2340,3,3,yes,1,Semi-furnished
165690200,3970,4,5,yes,3,Semi-furnished
43928220,977,2,2,no,1,Semi-furnished
94408300,2430,3,3,yes,1,Unfurnished
200043960,5567,5,6,yes,3,Semi-furnished
167670000,4200,4,4,yes,3,Semi-furnished
129967200,3120,4,4,yes,3,Semi-furnished
103147050,2545,3,3,yes,1,Unfurnished
212953600,2960,3,3,yes,1,Furnished
101028800,2680,3,4,yes,1,Semi-furnished
178683200,4480,4,5,yes,2,Semi-furnished
62157200,1670,3,3,yes,1,Semi-furnished
245548760,3810,4,4,yes,2,Furnished
236127570,3310,4,5,yes,3,Furnished
103840000,2800,3,3,yes,1,Semi-furnished
159379120,2640,3,3,yes,1,Furnished
97584800,2560,3,4,yes,1,Semi-furnished
98944400,2440,3,4,yes,1,Semi-furnished
54262000,1350,3,3,yes,1,Semi-furnished
251953720,4120,4,5,yes,3,Furnished
176559200,4160,4,5,yes,3,Semi-furnished
83689600,2320,3,4,yes,1,Semi-furnished
192897000,4300,4,4,yes,3,Semi-furnished
114302000,2900,3,4,yes,1,Unfurnished
165165000,3790,4,4,yes,3,Unfurnished
83213800,2310,3,4,yes,1,Unfurnished
85780000,2250,3,3,yes,1,Unfurnished
237454400,5760,5,6,yes,2,Unfurnished
147290080,2320,3,3,yes,1,Furnished
121379100,3310,4,4,yes,2,Semi-furnished
64840760,1015,3,4,yes,1,Furnished
181694000,2800,3,3,yes,1,Furnished
147293000,4150,4,4,yes,3,Unfurnished
122021200,2840,3,4,yes,1,Unfurnished
165382840,2260,3,4,yes,1,Furnished
120141046,1962,3,4,yes,1,Furnished
90813700,2310,3,3,yes,1,Unfurnished
100978000,2550,3,4,yes,1,Unfurnished
209640368,2768,3,4,yes,1,Furnished
155441000,3700,4,5,yes,3,Semi-furnished
61268800,1680,3,4,yes,1,Unfurnished
276089600,3680,4,4,yes,2,Furnished
140395200,3720,4,4,yes,3,Unfurnished
227250000,3750,4,4,yes,3,Furnished
104644000,2700,3,4,yes,1,Semi-furnished
136788000,3300,4,4,yes,3,Unfurnished
25924150,705,2,2,no,1,Unfurnished
108372500,2875,3,4,yes,1,Unfurnished
96079000,2300,3,3,yes,1,Semi-furnished
97272500,2350,3,3,yes,1,Unfurnished
126888640,2832,3,4,yes,1,Semi-furnished
131528000,3200,4,5,yes,2,Semi-furnished
269605200,6260,5,6,yes,3,Semi-furnished
91774000,2200,3,4,yes,1,Unfurnished
166266500,2260,3,4,yes,1,Furnished
83155000,2260,3,4,yes,1,Semi-furnished
197784200,3300,4,4,yes,2,Furnished
41020750,975,2,2,no,1,Unfurnished
125625600,3160,4,4,yes,3,Unfurnished
135733100,3670,4,5,yes,2,Semi-furnished
156636850,2550,3,3,yes,1,Furnished
61358200,1587,3,4,yes,1,Semi-furnished
158053000,4300,4,4,yes,2,Semi-furnished
162156000,3840,4,4,yes,3,Unfurnished
101850168,1352,3,4,yes,1,Furnished
61632400,1410,3,3,yes,1,Unfurnished
74181780,1753,3,3,yes,1,Semi-furnished
94671204,1547,3,3,yes,1,Furnished
142503000,3210,4,5,yes,3,Unfurnished
107788000,2800,3,4,yes,1,Semi-furnished
39475000,1125,3,4,yes,1,Unfurnished
125354000,3400,4,5,yes,2,Semi-furnished
160876480,2440,3,3,yes,1,Furnished
21446200,590,2,2,no,1,Semi-furnished
129672000,2900,3,3,yes,1,Unfurnished
121478640,2879,3,3,yes,1,Semi-furnished
154744240,2320,3,4,yes,1,Furnished
41292550,945,2,2,no,1,Unfurnished
124709000,3300,4,5,yes,2,Unfurnished
149973500,4150,4,4,yes,2,Semi-furnished
100855000,2250,3,4,yes,1,Semi-furnished
137464400,3640,4,5,yes,2,Unfurnished
201619360,2880,3,3,yes,1,Furnished
112659300,2846,3,3,yes,1,Unfurnished
139127360,3432,4,5,yes,2,Semi-furnished
63032980,1562,3,3,yes,1,Unfurnished
37169560,828,2,2,no,1,Semi-furnished
107692000,2400,3,3,yes,1,Unfurnished
109964000,2480,3,3,yes,1,Unfurnished
123384400,2840,3,3,yes,1,Unfurnished
183560000,4400,4,4,yes,3,Unfurnished
50808790,1173,3,3,yes,1,Unfurnished
140390240,3792,4,5,yes,2,Semi-furnished
126679200,3140,4,5,yes,2,Unfurnished
76042000,1800,3,3,yes,1,Unfurnished
235591520,3120,4,4,yes,2,Furnished
164802970,2430,3,4,yes,1,Furnished
82657800,2260,3,4,yes,1,Unfurnished
157490000,4200,4,4,yes,2,Semi-furnished
133356000,3300,4,5,yes,3,Unfurnished
158006200,2260,3,3,yes,1,Furnished
128251000,2900,3,3,yes,1,Semi-furnished
144420820,2380,3,4,yes,1,Furnished
145401000,3300,4,5,yes,3,Semi-furnished
98300800,2760,3,3,yes,1,Semi-furnished
124958500,2850,3,4,yes,1,Semi-furnished
116398400,3160,4,4,yes,3,Unfurnished
189113000,4300,4,5,yes,3,Unfurnished
67438000,1800,3,3,yes,1,Semi-furnished
84556900,2090,3,3,yes,1,Unfurnished
103955200,2616,3,4,yes,1,Semi-furnished
150107200,3980,4,5,yes,3,Unfurnished
36520300,945,2,2,no,1,Semi-furnished
102113200,2580,3,3,yes,1,Semi-furnished
70924600,1980,3,3,yes,1,Semi-furnished
158460000,4100,4,4,yes,2,Unfurnished
74092600,1980,3,3,yes,1,Semi-furnished
201354268,3052,4,5,yes,2,Furnished
115530400,2880,3,3,yes,1,Unfurnished
183498550,2650,3,3,yes,1,Furnished
30621750,815,2,2,no,1,Semi-furnished
39764640,976,2,2,no,1,Unfurnished
78618000,2150,3,4,yes,1,Unfurnished
131539750,1950,3,3,yes,1,Furnished
229474960,3620,4,5,yes,3,Furnished
79198600,2220,3,4,yes,1,Unfurnished
102460000,2400,3,3,yes,1,Semi-furnished
170132590,4799,4,4,yes,2,Semi-furnished
69353920,1656,3,4,yes,1,Unfurnished
179768000,4300,4,4,yes,2,Unfurnished
164581500,4150,4,4,yes,2,Unfurnished
84294880,1320,3,4,yes,1,Furnished
117969500,2830,3,3,yes,1,Semi-furnished
152349280,2280,3,4,yes,1,Furnished
89044000,2400,3,4,yes,1,Unfurnished
124122800,2840,3,4,yes,1,Semi-furnished
169226100,4695,4,4,yes,3,Unfurnished
107345500,2850,3,4,yes,1,Semi-furnished
96461280,2384,3,4,yes,1,Unfurnished
83332000,1920,3,3,yes,1,Unfurnished
159122500,4250,4,5,yes,3,Semi-furnished
166414060,2430,3,3,yes,1,Furnished
100264600,2430,3,4,yes,1,Semi-furnished
189000000,4440,4,4,yes,3,Semi-furnished
96388000,2400,3,4,yes,1,Unfurnished
122514400,3080,4,4,yes,3,Semi-furnished
89425300,2370,3,4,yes,1,Semi-furnished
143760880,1980,3,3,yes,1,Furnished
77464000,1800,3,4,yes,1,Semi-furnished
83156000,2320,3,4,yes,1,Unfurnished
468379218,6617,5,5,yes,2,Furnished
120757400,2930,3,3,yes,1,Semi-furnished
103688650,1650,3,3,yes,1,Furnished
39326750,1075,3,3,yes,1,Unfurnished
82158400,2320,3,3,yes,1,Semi-furnished
140780000,3300,4,4,yes,2,Semi-furnished
115880000,2800,3,4,yes,1,Semi-furnished
78958000,1950,3,4,yes,1,Semi-furnished
122267000,3300,4,5,yes,2,Semi-furnished
132993000,3300,4,4,yes,3,Unfurnished
185723000,2440,3,4,yes,1,Furnished
174894000,2650,3,3,yes,1,Furnished
135844800,3040,4,4,yes,2,Semi-furnished
185692400,2450,3,3,yes,1,Furnished
254751200,3400,4,5,yes,2,Furnished
42109550,935,2,2,no,1,Semi-furnished
122107708,1836,3,4,yes,1,Furnished
111644200,2790,3,3,yes,1,Unfurnished
149481120,3324,4,4,yes,3,Semi-furnished
144713560,2280,3,3,yes,1,Furnished
99676000,2400,3,4,yes,1,Semi-furnished
89623600,2440,3,4,yes,1,Unfurnished
180625290,4931,4,4,yes,2,Semi-furnished
74557600,1920,3,3,yes,1,Unfurnished
135662500,3250,4,5,yes,3,Semi-furnished
99862800,2312,3,4,yes,1,Unfurnished
336830600,5400,5,5,yes,2,Furnished
288137000,6850,5,5,yes,3,Unfurnished
59348680,1572,3,4,yes,1,Semi-furnished
154516000,3700,4,5,yes,3,Unfurnished
68436400,1860,3,3,yes,1,Semi-furnished
256366240,4120,4,4,yes,3,Furnished
35924950,945,2,2,no,1,Semi-furnished
200448400,2800,3,3,yes,1,Furnished
78944200,1985,3,3,yes,1,Semi-furnished
117495000,2650,3,3,yes,1,Semi-furnished
35168950,945,2,2,no,1,Unfurnished
49943500,1410,3,3,yes,1,Semi-furnished
54937750,750,2,2,no,1,Furnished
114353200,2840,3,3,yes,1,Semi-furnished
268945560,3585,4,5,yes,3,Furnished
100067500,2250,3,4,yes,1,Unfurnished
96870400,2440,3,4,yes,1,Semi-furnished
103485000,2300,3,3,yes,1,Unfurnished
136424800,3760,4,4,yes,2,Semi-furnished
121747200,2920,3,3,yes,1,Unfurnished
146957000,3550,4,5,yes,2,Semi-furnished
99539200,2520,3,4,yes,1,Semi-furnished
109214500,2550,3,4,yes,1,Unfurnished
143641200,1900,3,3,yes,1,Furnished
150197760,1985,3,4,yes,1,Furnished
65185000,1500,3,4,yes,1,Semi-furnished
38722150,945,2,2,no,1,Unfurnished
203117400,2840,3,3,yes,1,Furnished
133075500,3575,4,4,yes,3,Unfurnished
46094000,1300,3,4,yes,1,Semi-furnished
82824400,1980,3,4,yes,1,Semi-furnished
327275960,5140,5,6,yes,3,Furnished
91915600,2280,3,4,yes,1,Unfurnished
159479488,2592,3,3,yes,1,Furnished
112848000,2840,3,4,yes,1,Unfurnished
60504400,945,2,2,no,1,Furnished
172624520,4341,4,4,yes,2,Semi-furnished
235371200,3300,4,4,yes,2,Furnished
167500870,2730,3,4,yes,1,Furnished
107752800,2440,3,3,yes,1,Unfurnished
117014500,3170,4,5,yes,2,Semi-furnished
94604088,1484,3,4,yes,1,Furnished
187902480,3120,4,4,yes,3,Furnished
67703200,1920,3,3,yes,1,Semi-furnished
156389500,2250,3,3,yes,1,Furnished
206266786,2786,3,4,yes,1,Furnished
155405200,2300,3,3,yes,1,Furnished
204440680,2895,3,4,yes,1,Furnished
19917000,450,1,1,no,0,Unfurnished
94375000,2250,3,4,yes,1,Semi-furnished
108962000,2650,3,4,yes,1,Unfurnished
251438050,5855,5,5,yes,2,Semi-furnished
76317820,1869,3,4,yes,1,Unfurnished
127679000,3300,4,4,yes,2,Semi-furnished
153230850,4295,4,4,yes,2,Semi-furnished
90443576,1198,3,3,yes,1,Furnished
65368000,1800,3,3,yes,1,Unfurnished
168812250,2650,3,4,yes,1,Furnished
98517000,2300,3,4,yes,1,Unfurnished
145680000,4000,4,5,yes,2,Semi-furnished
142929600,3760,4,4,yes,2,Semi-furnished
58770400,960,2,2,no,1,Furnished
68140000,1890,3,3,yes,1,Unfurnished
133983000,3300,4,5,yes,3,Semi-furnished
175927600,2600,3,4,yes,1,Furnished
73923400,1890,3,4,yes,1,Semi-furnished
140172520,2040,3,4,yes,1,Furnished
65222050,1635,3,4,yes,1,Unfurnished
124740000,3400,4,5,yes,3,Semi-furnished
166402880,3876,4,5,yes,2,Unfurnished
171809350,2550,3,3,yes,1,Furnished
155756080,2430,3,4,yes,1,Furnished
157431000,3950,4,5,yes,3,Unfurnished
223530944,3152,4,5,yes,3,Furnished
72820000,1800,3,3,yes,1,Unfurnished
194633440,4592,4,5,yes,3,Semi-furnished
131800000,3760,4,5,yes,2,Unfurnished
90460000,2400,3,4,yes,1,Unfurnished
104379400,2460,3,4,yes,1,Unfurnished
96179200,2280,3,4,yes,1,Semi-furnished
105517000,1500,3,4,yes,1,Furnished
74200000,1950,3,4,yes,1,Semi-furnished
109703700,2515,3,3,yes,1,Semi-furnished
78005600,1840,3,4,yes,1,Unfurnished
92731600,2430,3,4,yes,1,Semi-furnished
252012000,6400,5,6,yes,3,Semi-furnished
165234000,4200,4,5,yes,3,Unfurnished
166560000,4000,4,4,yes,2,Unfurnished
132404200,2100,3,3,yes,1,Furnished
111867500,3150,4,5,yes,2,Unfurnished
61645600,1440,3,3,yes,1,Unfurnished
58274000,1450,3,3,yes,1,Semi-furnished
177926800,2760,3,3,yes,1,Furnished
104131000,2700,3,3,yes,1,Semi-furnished
172935600,2800,3,4,yes,1,Furnished
109496000,2800,3,3,yes,1,Semi-furnished
111264440,2734,3,3,yes,1,Semi-furnished
30412000,800,2,2,no,1,Unfurnished
108842500,2430,3,3,yes,1,Semi-furnished
60292000,1600,3,4,yes,1,Unfurnished
49607500,1230,3,4,yes,1,Semi-furnished
98504800,2280,3,3,yes,1,Semi-furnished
121088000,2800,3,4,yes,1,Unfurnished
