This is dummy data,,,,,,,,
,,,,,,,,
,,,,,,,,
,Date,Franchise,City,Product,Sales,Profit,Target Profit,Target Sales
,1-Jan-21,M1,Mumbai,Amaretto,$219.00,$94.00,$100.00,$220.00
,1-Feb-21,M1,Mumbai,Amaretto,$140.00,$34.00,$50.00,$140.00
,1-Mar-21,M1,Mumbai,Amaretto,$145.00,-$2.00,$30.00,$180.00
,1-Apr-21,M1,Mumbai,Amaretto,$45.00,$11.00,$20.00,$40.00
,1-May-21,M1,Mumbai,Amaretto,$120.00,$13.00,$30.00,$120.00
,1-Jun-21,M1,Mumbai,Amaretto,$93.00,$20.00,$30.00,$80.00
,1-Jul-21,M1,Mumbai,Amaretto,$150.00,$1.00,$40.00,$180.00
,1-Aug-21,M1,Mumbai,Amaretto,$170.00,$47.00,$80.00,$210.00
,1-Sep-21,M1,Mumbai,Amaretto,$243.00,$105.00,$120.00,$250.00
,1-Oct-21,M1,Mumbai,Amaretto,$140.00,$33.00,$50.00,$140.00
,1-Nov-21,M1,Mumbai,Amaretto,$132.00,-$27.00,,$160.00
,1-Dec-21,M1,Mumbai,Amaretto,$45.00,$10.00,$20.00,$40.00
,1-Jan-22,M1,Mumbai,Amaretto,$118.00,$12.00,$30.00,$120.00
,1-Feb-22,M1,Mumbai,Amaretto,$101.00,$25.00,$40.00,$90.00
,1-Mar-22,M1,Mumbai,Amaretto,$129.00,-$4.00,$40.00,$160.00
,1-Apr-22,M1,Mumbai,Amaretto,$165.00,$46.00,$70.00,$200.00
,1-May-22,M1,Mumbai,Amaretto,$213.00,$90.00,$100.00,$220.00
,1-Jun-22,M1,Mumbai,Amaretto,$134.00,$32.00,$50.00,$140.00
,1-Jul-22,M1,Mumbai,Amaretto,$125.00,-$41.00,,$150.00
,1-Aug-22,M1,Mumbai,Amaretto,$45.00,$10.00,$20.00,$40.00
,1-Sep-22,M1,Mumbai,Amaretto,$120.00,$13.00,$30.00,$120.00
,1-Oct-22,M1,Mumbai,Amaretto,$107.00,$29.00,$40.00,$100.00
,1-Nov-22,M1,Mumbai,Amaretto,$125.00,-$3.00,$30.00,$150.00
,1-Dec-22,M1,Mumbai,Amaretto,$163.00,$45.00,$70.00,$200.00
,1-Jan-23,M1,Mumbai,Amaretto,$223.00,$96.00,$110.00,$230.00
,1-Feb-23,M1,Mumbai,Amaretto,$129.00,$28.00,$50.00,$130.00
,1-Mar-23,M1,Mumbai,Amaretto,$110.00,-$76.00,,$130.00
,1-Apr-23,M1,Mumbai,Amaretto,$47.00,$11.00,$10.00,$40.00
,1-May-23,M1,Mumbai,Amaretto,$127.00,$16.00,$20.00,$130.00
,1-Jun-23,M1,Mumbai,Amaretto,$121.00,$33.00,$40.00,$110.00
,1-Jul-23,M1,Mumbai,Amaretto,$125.00,-$3.00,$30.00,$150.00
,1-Aug-23,M1,Mumbai,Amaretto,$167.00,$47.00,$70.00,$200.00
,1-Sep-23,M1,Mumbai,Amaretto,$256.00,$111.00,$120.00,$260.00
,1-Oct-23,M1,Mumbai,Amaretto,$123.00,$27.00,$40.00,$120.00
,1-Nov-23,M1,Mumbai,Amaretto,$106.00,-$84.00,,$130.00
,1-Dec-23,M1,Mumbai,Amaretto,$49.00,$12.00,$20.00,$50.00
,1-Jan-24,M1,Mumbai,Amaretto,$130.00,$17.00,$20.00,$130.00
,1-Feb-24,M1,Mumbai,Amaretto,$125.00,$35.00,$40.00,$110.00
,1-Mar-24,M1,Mumbai,Amaretto,$128.00,-$2.00,$40.00,$160.00
,1-Apr-24,M1,Mumbai,Amaretto,$148.00,$38.00,$60.00,$180.00
,1-May-24,M1,Mumbai,Amaretto,$276.00,$121.00,$130.00,$280.00
,1-Jun-24,M1,Mumbai,Amaretto,$118.00,$24.00,$40.00,$120.00
,1-Jul-24,M1,Mumbai,Amaretto,$96.00,-$113.00,,$120.00
,1-Aug-24,M1,Mumbai,Amaretto,$58.00,$18.00,$30.00,$60.00
,1-Sep-24,M1,Mumbai,Amaretto,$133.00,$19.00,$20.00,$130.00
,1-Oct-24,M1,Mumbai,Amaretto,$138.00,$41.00,$50.00,$130.00
,1-Nov-24,M1,Mumbai,Amaretto,$107.00,-$6.00,$30.00,$130.00
,1-Dec-24,M1,Mumbai,Amaretto,$142.00,$36.00,$60.00,$170.00
,1-Jan-25,M1,Mumbai,Amaretto,$256.00,$111.00,$120.00,$260.00
,1-Feb-25,M1,Mumbai,Amaretto,$110.00,$20.00,$40.00,$110.00
,1-Mar-25,M1,Mumbai,Amaretto,$87.00,-$138.00,,$100.00
,1-Apr-25,M1,Mumbai,Amaretto,$61.00,$17.00,$30.00,$60.00
,1-May-25,M1,Mumbai,Amaretto,$133.00,$18.00,$20.00,$130.00
,1-Jun-25,M1,Mumbai,Amaretto,$151.00,$49.00,$70.00,$140.00
,1-Jul-25,M1,Mumbai,Amaretto,$95.00,-$10.00,$20.00,$110.00
,1-Aug-25,M1,Mumbai,Amaretto,$132.00,$32.00,$60.00,$160.00
,1-Sep-25,M1,Mumbai,Amaretto,$301.00,$133.00,$140.00,$310.00
,1-Oct-25,M1,Mumbai,Amaretto,$108.00,$19.00,$40.00,$110.00
,1-Nov-25,M1,Mumbai,Amaretto,$87.00,-$139.00,,$100.00
,1-Dec-25,M1,Mumbai,Amaretto,$63.00,$19.00,$30.00,$60.00
,1-Jan-26,M1,Mumbai,Amaretto,$140.00,$21.00,$30.00,$140.00
,1-Feb-26,M1,Mumbai,Amaretto,$151.00,$48.00,$70.00,$140.00
,1-Mar-26,M1,Mumbai,Amaretto,$89.00,-$11.00,$20.00,$110.00
,1-Apr-26,M1,Mumbai,Amaretto,$110.00,$24.00,$40.00,$130.00
,1-May-26,M1,Mumbai,Amaretto,$302.00,$134.00,$140.00,$310.00
,1-Jun-26,M1,Mumbai,Amaretto,$125.00,$28.00,$50.00,$130.00
,1-Jul-26,M1,Mumbai,Amaretto,$109.00,-$74.00,,$130.00
,1-Aug-26,M1,Mumbai,Amaretto,$48.00,$13.00,$20.00,$50.00
,1-Sep-26,M1,Mumbai,Amaretto,$149.00,$23.00,$30.00,$150.00
,1-Oct-26,M1,Mumbai,Amaretto,$120.00,$33.00,$50.00,$110.00
,1-Nov-26,M1,Mumbai,Amaretto,$126.00,-$3.00,$30.00,$150.00
,1-Dec-26,M1,Mumbai,Amaretto,$136.00,$33.00,$70.00,$170.00
,1-Jan-21,M2,Mumbai,Amaretto,$302.00,$133.00,$160.00,$300.00
,1-Feb-21,M2,Mumbai,Amaretto,$123.00,$26.00,$60.00,$110.00
,1-Mar-21,M2,Mumbai,Amaretto,$109.00,-$74.00,,$150.00
,1-Apr-21,M2,Mumbai,Amaretto,$52.00,$15.00,$30.00,$40.00
,1-May-21,M2,Mumbai,Amaretto,$126.00,$15.00,$50.00,$120.00
,1-Jun-21,M2,Mumbai,Amaretto,$120.00,$33.00,$60.00,$90.00
,1-Jul-21,M2,Mumbai,Amaretto,$122.00,-$5.00,$50.00,$170.00
,1-Aug-21,M2,Mumbai,Amaretto,$142.00,$36.00,$90.00,$200.00
,1-Sep-21,M2,Mumbai,Amaretto,$290.00,$128.00,$130.00,$280.00
,1-Oct-21,M2,Mumbai,Amaretto,$138.00,$33.00,$50.00,$130.00
,1-Nov-21,M2,Mumbai,Amaretto,$116.00,-$56.00,,$130.00
,1-Dec-21,M2,Mumbai,Amaretto,$39.00,$8.00,$10.00,$30.00
,1-Jan-22,M2,Mumbai,Amaretto,$121.00,$14.00,$20.00,$110.00
,1-Feb-22,M2,Mumbai,Amaretto,$113.00,$30.00,$40.00,$100.00
,1-Mar-22,M2,Mumbai,Amaretto,$125.00,-$4.00,$10.00,$140.00
,1-Apr-22,M2,Mumbai,Amaretto,$150.00,$39.00,$50.00,$170.00
